
2024/12/25 (01:54:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (02:57:03) | ===> btop++ v.1.4.0
2024/12/25 (02:57:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (02:58:57) | ===> btop++ v.1.4.0
2024/12/25 (02:58:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (03:01:09) | ===> btop++ v.1.4.0
2024/12/25 (03:01:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (03:57:30) | ===> btop++ v.1.4.0
2024/12/25 (03:57:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (04:11:55) | ===> btop++ v.1.4.0
2024/12/25 (04:11:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (04:18:19) | ===> btop++ v.1.4.0
2024/12/25 (04:18:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (04:36:43) | ===> btop++ v.1.4.0
2024/12/25 (04:36:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (13:29:18) | ===> btop++ v.1.4.0
2024/12/25 (13:29:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (18:07:02) | ===> btop++ v.1.4.0
2024/12/25 (18:07:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (20:12:45) | ===> btop++ v.1.4.0
2024/12/25 (20:12:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (01:24:17) | ===> btop++ v.1.4.0
2024/12/26 (01:24:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (01:54:32) | ===> btop++ v.1.4.0
2024/12/26 (01:54:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (02:56:36) | ===> btop++ v.1.4.0
2024/12/26 (02:56:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (04:37:26) | ===> btop++ v.1.4.0
2024/12/26 (04:37:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (06:26:45) | ===> btop++ v.1.4.0
2024/12/26 (06:26:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (06:41:39) | ===> btop++ v.1.4.0
2024/12/26 (06:41:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (16:38:59) | ===> btop++ v.1.4.0
2024/12/26 (16:38:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (16:40:41) | ===> btop++ v.1.4.0
2024/12/26 (16:40:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (16:42:33) | ===> btop++ v.1.4.0
2024/12/26 (16:42:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (16:43:19) | ===> btop++ v.1.4.0
2024/12/26 (16:43:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (17:42:14) | ===> btop++ v.1.4.0
2024/12/26 (17:42:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (18:12:47) | ===> btop++ v.1.4.0
2024/12/26 (18:12:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (18:17:56) | ===> btop++ v.1.4.0
2024/12/26 (18:17:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (18:22:38) | ===> btop++ v.1.4.0
2024/12/26 (18:22:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (19:02:17) | ===> btop++ v.1.4.0
2024/12/26 (19:02:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (19:35:55) | ===> btop++ v.1.4.0
2024/12/26 (19:35:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (19:37:42) | ===> btop++ v.1.4.0
2024/12/26 (19:37:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (20:43:22) | ===> btop++ v.1.4.0
2024/12/26 (20:43:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (20:55:54) | ===> btop++ v.1.4.0
2024/12/26 (20:55:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (22:23:23) | ===> btop++ v.1.4.0
2024/12/26 (22:23:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (23:19:06) | ===> btop++ v.1.4.0
2024/12/26 (23:19:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (01:19:00) | ===> btop++ v.1.4.0
2024/12/27 (01:19:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (02:39:20) | ===> btop++ v.1.4.0
2024/12/27 (02:39:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (02:47:26) | ===> btop++ v.1.4.0
2024/12/27 (02:47:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (03:07:31) | ===> btop++ v.1.4.0
